"name","position","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"20","Brian Dozier","2B",20.7226732966059,NA,NA,NA,NA,NA,5.18400829193657,4.04882002354863,3.99960331946779,5.18215315931769,1.99636952542137,2.30808850233519,NA,NA,NA,NA,NA,90.6666666666667,18.3333333333333,72,18.6666666666667,0.332333333333333,2.30808850233519
"21","Jason Heyward","OF",20.1708203401464,NA,NA,NA,NA,NA,4.98193360213304,4.36379751976165,4.17925770009433,4.40956152556709,2.42428363774106,2.23626999259033,NA,NA,NA,NA,NA,87.3333333333333,19.6666666666667,75,16,0.351333333333333,2.23626999259033
"22","Bryce Harper","OF",20.1640041840292,NA,NA,NA,NA,NA,4.67882156742775,5.70245187866697,4.97772161399008,2.86437825806591,2.62697979620829,1.94063086587845,NA,NA,NA,NA,NA,82.3333333333333,25.3333333333333,88.3333333333333,10.6666666666667,0.360333333333333,1.94063086587845
"23","Josh Donaldson","3B",20.0819414336411,NA,NA,NA,NA,NA,4.86068878825092,6.25366249703976,5.45679996232753,1.22262103634591,2.22158747927384,2.28816914967696,NA,NA,NA,NA,NA,85.3333333333333,27.6666666666667,96.3333333333333,5,0.342333333333333,2.28816914967696
"24","Ryan Braun","OF",20.0459789836493,NA,NA,NA,NA,NA,4.61819916048669,5.22998563434745,4.71822084197396,3.25067407494121,2.43929816799789,2.2288992719,NA,NA,NA,NA,NA,81.3333333333333,23.3333333333333,84,12,0.352,2.2288992719
"25","Charlie Blackmon","OF",19.7624167512275,NA,NA,NA,NA,NA,4.6586140984474,3.41886503112259,3.64029455821471,6.0513187472871,1.86123875310989,1.99332431615565,NA,NA,NA,NA,NA,82,15.6666666666667,66,21.6666666666667,0.326333333333333,1.99332431615565
"26","Chris Davis","1B",19.5356540939013,NA,NA,NA,NA,NA,4.6586140984474,7.27733935973207,5.2172607881588,0.643177311032964,1.97384773003613,1.73926253653002,NA,NA,NA,NA,NA,82,32,92.3333333333333,3,0.331333333333333,1.73926253653002
"27","Michael Brantley","OF",19.5231833083982,NA,NA,NA,NA,NA,4.59799169150634,3.34012065706934,4.37887367856827,4.69928338822357,2.40176184235582,2.50691389303069,NA,NA,NA,NA,NA,81,15.3333333333333,78.3333333333333,17,0.350333333333333,2.50691389303069
"28","Justin Upton","OF",19.5198643201168,NA,NA,NA,NA,NA,4.61819916048669,5.62370750461372,4.97772161399008,1.9952126700965,2.31918192594324,2.30502337092977,NA,NA,NA,NA,NA,81.3333333333333,25,88.3333333333333,7.66666666666667,0.346666666666667,2.30502337092977
"29","Freddie Freeman","1B",19.489015651403,NA,NA,NA,NA,NA,5.00214107111339,5.38747438245396,5.33703037524316,0.836325219470612,3.1149520295553,2.92604460312183,NA,NA,NA,NA,NA,87.6666666666667,24,94.3333333333333,3.66666666666667,0.382,2.92604460312183
"30","Chris Carter","DH",19.3676114388585,NA,NA,NA,NA,NA,4.45653940864387,7.35608373378532,4.97772161399008,0.932899173689435,1.56094814797326,1.6443675087498,NA,NA,NA,NA,NA,78.6666666666667,32.3333333333333,88.3333333333333,4,0.313,1.6443675087498
"31","Jason Kipnis","2B",19.2348711074285,NA,NA,NA,NA,NA,4.21404978087964,2.7101656646433,3.60037136251992,6.53418851838122,2.24410927465909,2.17609578100446,NA,NA,NA,NA,NA,74.6666666666667,12.6666666666667,65.3333333333333,23.3333333333333,0.343333333333333,2.17609578100446
