"name","position","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"60","Derek Holland","SP",10.413425966916,4.21426020460989,-0.036909560283025,4.10779381283914,1.19126476176224,1.35838271144664,NA,NA,NA,NA,NA,NA,10.6666666666667,0,147.333333333333,3.83333333333333,1.25333333333333,NA,NA,NA,NA,NA,NA
"61","Carlos Carrasco","RP",10.359381139062,3.92295477554085,-0.036909560283025,4.35777054839643,1.63333744084674,1.72702788316317,NA,NA,NA,NA,NA,NA,10,0,155.333333333333,3.47,1.18333333333333,NA,NA,NA,NA,NA,NA
"62","Scott Kazmir","SP",10.3192456848045,4.3599129191444,-0.036909560283025,3.88906416922651,1.38999468171765,1.42860083939264,NA,NA,NA,NA,NA,NA,11,0,140.333333333333,3.67,1.24,NA,NA,NA,NA,NA,NA
"63","Wei-Yin Chen","SP",10.2905186977829,4.50556563367892,-0.036909560283025,3.69116592024366,1.02903625567618,1.39349177541964,NA,NA,NA,NA,NA,NA,11.3333333333333,0,134,3.96666666666667,1.24666666666667,NA,NA,NA,NA,NA,NA
"64","Jake Odorizzi","SP",10.2781767677023,3.92295477554085,-0.036909560283025,4.31610775913688,1.00064626711112,1.20039192356812,NA,NA,NA,NA,NA,NA,10,0,154,3.99,1.28333333333333,NA,NA,NA,NA,NA,NA
"65","Mike Leake","SP",10.2239731500461,4.21426020460989,-0.036909560283025,3.85781707728185,1.18720904911008,1.41104630740614,NA,NA,NA,NA,NA,NA,10.6666666666667,0,139.333333333333,3.83666666666667,1.24333333333333,NA,NA,NA,NA,NA,NA
"66","Mike Fiers","RP",10.2115019428259,4.06860749007537,-0.036909560283025,4.10779381283914,1.30888042867463,1.77969147912267,NA,NA,NA,NA,NA,NA,10.3333333333333,0,147.333333333333,3.73666666666667,1.17333333333333,NA,NA,NA,NA,NA,NA
"67","Brandon McCarthy","SP",10.2007216769515,4.21426020460989,-0.036909560283025,3.88906416922651,1.39810610702196,1.70947335117667,NA,NA,NA,NA,NA,NA,10.6666666666667,0,140.333333333333,3.66333333333333,1.18666666666667,NA,NA,NA,NA,NA,NA
"68","Aroldis Chapman","RP",10.1708062080121,1.44685862845406,4.17834313871719,2.84749443773781,3.5881909391837,2.97339965420477,NA,NA,NA,NA,NA,NA,4.33333333333333,36,107,1.86333333333333,0.946666666666667,NA,NA,NA,NA,NA,NA
"69","Drew Smyly","SP",10.0817604532682,4.06860749007537,-0.036909560283025,3.94114265580095,1.80367737223709,1.83235507508217,NA,NA,NA,NA,NA,NA,10.3333333333333,0,142,3.33,1.16333333333333,NA,NA,NA,NA,NA,NA
"70","Mat Latos","SP",10.0768001861312,4.06860749007537,-0.036909560283025,3.87864847191163,1.49949892332574,1.48126443535215,NA,NA,NA,NA,NA,NA,10.3333333333333,0,140,3.58,1.23,NA,NA,NA,NA,NA,NA
"71","Kevin Gausman","SP",10.0539423831984,4.21426020460989,-0.036909560283025,3.80573859070742,1.13448478463212,1.21794645555462,NA,NA,NA,NA,NA,NA,10.6666666666667,0,137.666666666667,3.88,1.28,NA,NA,NA,NA,NA,NA
"72","Mike Minor","SP",9.98245403654942,3.92295477554085,-0.036909560283025,3.9828054450605,1.18720904911008,1.48126443535215,NA,NA,NA,NA,NA,NA,10,0,143.333333333333,3.83666666666667,1.23,NA,NA,NA,NA,NA,NA
"73","Kenley Jansen","RP",9.83284921557382,1.30120591391954,4.2954334914672,2.57668630755075,3.04878115644756,2.88562699427226,NA,NA,NA,NA,NA,NA,4,37,98.3333333333333,2.30666666666667,0.963333333333333,NA,NA,NA,NA,NA,NA
"74","Jake Peavy","SP",9.82233733218032,3.92295477554085,-0.036909560283025,3.79532289339253,1.45083037149992,1.60414615925766,NA,NA,NA,NA,NA,NA,10,0,137.333333333333,3.62,1.20666666666667,NA,NA,NA,NA,NA,NA
"75","Kyle Lohse","SP",9.77082144143485,4.21426020460989,-0.036909560283025,3.45160488200126,1.01686911771973,1.42860083939264,NA,NA,NA,NA,NA,NA,10.6666666666667,0,126.333333333333,3.97666666666667,1.24,NA,NA,NA,NA,NA,NA
"76","Justin Masterson","SP",9.76495303616323,4.06860749007537,-0.036909560283025,3.72241301218832,0.753247795329889,0.673755963973081,NA,NA,NA,NA,NA,NA,10.3333333333333,0,135,4.19333333333333,1.38333333333333,NA,NA,NA,NA,NA,NA
"77","Jason Hammel","SP",9.66714683989323,3.77730206100633,-0.036909560283025,3.84740137996697,1.17504191115363,1.35838271144664,NA,NA,NA,NA,NA,NA,9.66666666666667,0,139,3.84666666666667,1.25333333333333,NA,NA,NA,NA,NA,NA
"78","Craig Kimbrel","RP",9.61989056165533,1.15555319938503,4.2368883150922,2.55585491292097,3.42190672044549,2.93829059023176,NA,NA,NA,NA,NA,NA,3.66666666666667,36.5,97.6666666666667,2,0.953333333333333,NA,NA,NA,NA,NA,NA
"79","Clay Buchholz","SP",9.60827034636752,4.06860749007537,-0.036909560283025,3.51409906589058,0.923587726720247,1.11261926363562,NA,NA,NA,NA,NA,NA,10.3333333333333,0,128.333333333333,4.05333333333333,1.3,NA,NA,NA,NA,NA,NA
"80","Matt Cain","SP",9.59132961017667,3.77730206100633,-0.036909560283025,3.74324440681809,1.38188325641335,1.60414615925766,NA,NA,NA,NA,NA,NA,9.66666666666667,0,135.666666666667,3.67666666666667,1.20666666666667,NA,NA,NA,NA,NA,NA
"81","Trevor Rosenthal","RP",9.57080631372917,1.30120591391954,4.41252384421721,2.32670957199346,2.53370564962434,2.04300945892019,NA,NA,NA,NA,NA,NA,4,38,90.3333333333333,2.73,1.12333333333333,NA,NA,NA,NA,NA,NA
"82","CC Sabathia","SP",9.5483023233829,3.77730206100633,-0.036909560283025,3.76407580144787,0.818139197764311,1.34082817946014,NA,NA,NA,NA,NA,NA,9.66666666666667,0,136.333333333333,4.14,1.25666666666667,NA,NA,NA,NA,NA,NA
"83","Matt Garza","SP",9.53583243277925,3.63164934647182,-0.036909560283025,3.84740137996697,1.12231764667566,1.34082817946014,NA,NA,NA,NA,NA,NA,9.33333333333333,0,139,3.89,1.25666666666667,NA,NA,NA,NA,NA,NA
