"name","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"17","Yadier Molina",10.211470804368,NA,NA,NA,NA,NA,2.88035682817637,2.15895504627052,3.16121620987726,0.643177311032964,2.10897850234761,1.36776540901091,NA,NA,NA,NA,NA,52.6666666666667,10.3333333333333,58,3,0.337333333333333,1.36776540901091
"18","Xander Bogaerts",15.3205748396131,NA,NA,NA,NA,NA,3.95135268413506,3.81258690138886,4.17925770009433,1.41576894478355,2.06393491157711,1.96160860921127,NA,NA,NA,NA,NA,70.3333333333333,17.3333333333333,75,5.66666666666667,0.335333333333333,1.96160860921127
"19","Wily Peralta",10.9157505407816,4.65121834821344,-0.036909560283025,4.17028799672846,1.00064626711112,0.866855815824596,NA,NA,NA,NA,NA,NA,11.6666666666667,0,149.333333333333,3.99,1.34666666666667,NA,NA,NA,NA,NA,NA
"20","Wilson Ramos",8.85694103437804,NA,NA,NA,NA,NA,2.47620744856931,3.18263190896283,2.80190744862417,-0.129414322717627,1.54593361771643,0.525608550939353,NA,NA,NA,NA,NA,46,14.6666666666667,52,0.333333333333333,0.312333333333333,0.525608550939353
"21","Wilmer Flores",10.8076096706759,NA,NA,NA,NA,NA,2.81973442123531,2.94639878680307,3.14125461202987,0.643177311032964,1.3882810500197,1.25704453957474,NA,NA,NA,NA,NA,51.6666666666667,13.6666666666667,57.6666666666667,3,0.305333333333333,1.25704453957474
"22","Willie Bloomquist",0.604349588325305,NA,NA,NA,NA,NA,0.495875488494756,-0.0458874272206081,0.526285294021301,0.353455448376492,1.31320839873555,-0.725379215346636,NA,NA,NA,NA,NA,13.3333333333333,1,14,2,0.302,-0.725379215346636
"23","Will Middlebrooks",8.84492652009439,NA,NA,NA,NA,NA,2.29434022774614,3.02514316085632,2.52244507876066,0.450029402595316,1.02793232385575,0.552968650135948,NA,NA,NA,NA,NA,43,14,47.3333333333333,2.33333333333333,0.289333333333333,0.552968650135948
"24","Wilin Rosario",10.4238974671326,NA,NA,NA,NA,NA,2.7389045453139,3.65509815328236,3.0214850249455,0.353455448376492,1.50089002694594,0.654954295214359,NA,NA,NA,NA,NA,50.3333333333333,16.6666666666667,55.6666666666667,2,0.310333333333333,0.654954295214359
"25","Wil Myers",15.8855420652366,NA,NA,NA,NA,NA,3.62803318044941,4.12756439760188,4.07944971085737,2.28493453275297,2.04892038132028,1.765560243575,NA,NA,NA,NA,NA,65,18.6666666666667,73.3333333333333,8.66666666666667,0.334666666666667,1.765560243575
"26","Welington Castillo",2.40034775806786,NA,NA,NA,NA,NA,0.839402461160751,0.899045061418447,0.925517250969173,-0.0328403684988034,1.52341182233119,-0.230776646981709,NA,NA,NA,NA,NA,19,5,20.6666666666667,0.666666666666667,0.311333333333333,-0.230776646981709
"27","Wei-Yin Chen",10.2905186977829,4.50556563367892,-0.036909560283025,3.69116592024366,1.02903625567618,1.39349177541964,NA,NA,NA,NA,NA,NA,11.3333333333333,0,134,3.96666666666667,1.24666666666667,NA,NA,NA,NA,NA,NA
"28","Wade Miley",11.0640619226074,4.65121834821344,-0.036909560283025,4.30569206182199,1.01281340506758,0.989737539730106,NA,NA,NA,NA,NA,NA,11.6666666666667,0,153.666666666667,3.98,1.32333333333333,NA,NA,NA,NA,NA,NA
"29","Wade Davis",5.71321620950035,1.88381677205761,0.0801807924669811,2.19130550689993,2.80949410997063,2.28877290673121,NA,NA,NA,NA,NA,NA,5.33333333333333,1,86,2.50333333333333,1.07666666666667,NA,NA,NA,NA,NA,NA
"30","Victor Martinez",14.9756001720212,NA,NA,NA,NA,NA,4.09280496699752,4.12756439760188,4.69825924412657,-0.0328403684988034,2.98732852237224,2.08981193179405,NA,NA,NA,NA,NA,72.6666666666667,18.6666666666667,83.6666666666667,0.666666666666667,0.376333333333333,2.08981193179405
"31","Vance Worley",7.60886588423076,3.19469120286827,-0.036909560283025,2.50377642634654,1.20343189971869,1.16528285959512,NA,NA,NA,NA,NA,NA,8.33333333333333,0,96,3.82333333333333,1.29,NA,NA,NA,NA,NA,NA
"32","Ubaldo Jimenez",8.14280420307057,3.04903848833375,-0.036909560283025,3.30578511959284,0.716746381460526,0.603537836027075,NA,NA,NA,NA,NA,NA,8,0,121.666666666667,4.22333333333333,1.39666666666667,NA,NA,NA,NA,NA,NA
"33","Tyson Ross",11.7780176838177,4.65121834821344,-0.036909560283025,4.97229668997476,1.85640163671506,1.41104630740614,NA,NA,NA,NA,NA,NA,11.6666666666667,0,175,3.28666666666667,1.24333333333333,NA,NA,NA,NA,NA,NA
"34","Tyler Skaggs",4.12397665526058,1.88381677205761,-0.036909560283025,1.19139856467077,1.0858162328063,1.27061005151413,NA,NA,NA,NA,NA,NA,5.33333333333333,0,54,3.92,1.27,NA,NA,NA,NA,NA,NA
"35","Tyler Flowers",7.96237376322683,NA,NA,NA,NA,NA,2.45599997958896,2.86765441274981,2.44259868737109,-0.0328403684988034,0.9078160818011,0.228961052015768,NA,NA,NA,NA,NA,45.6666666666667,13.3333333333333,46,0.666666666666667,0.284,0.228961052015768
"36","Tyler Clippard",5.71785332715478,1.59251134298858,0.899813261717023,1.79550900893422,2.33903144232107,2.07811852289319,NA,NA,NA,NA,NA,NA,4.66666666666667,8,73.3333333333333,2.89,1.11666666666667,NA,NA,NA,NA,NA,NA
"37","Troy Tulowitzki",18.5383992070419,NA,NA,NA,NA,NA,4.94151866417233,5.85994062677348,5.09749120107444,0.643177311032964,3.28761912750886,1.99627140398868,NA,NA,NA,NA,NA,86.6666666666667,26,90.3333333333333,3,0.389666666666667,1.99627140398868
"38","Trevor Rosenthal",9.57080631372917,1.30120591391954,4.41252384421721,2.32670957199346,2.53370564962434,2.04300945892019,NA,NA,NA,NA,NA,NA,4,38,90.3333333333333,2.73,1.12333333333333,NA,NA,NA,NA,NA,NA
"39","Trevor Plouffe",12.1169096822874,NA,NA,NA,NA,NA,3.22388380084236,3.49760940517585,3.46064017758816,0.54660335681414,1.59848447361534,1.38817294186687,NA,NA,NA,NA,NA,58.3333333333333,16,63,2.66666666666667,0.314666666666667,1.38817294186687
"40","Trevor Bauer",10.5801727083901,3.77730206100633,-0.036909560283025,4.75356704636214,0.781637783894948,0.849301283838096,NA,NA,NA,NA,NA,NA,9.66666666666667,0,168,4.17,1.35,NA,NA,NA,NA,NA,NA
"41","Travis Wood",8.75190134375845,3.34034391740278,-0.036909560283025,3.44118918468637,0.586963576591682,0.814192219865092,NA,NA,NA,NA,NA,NA,8.66666666666667,0,126,4.33,1.35666666666667,NA,NA,NA,NA,NA,NA
"42","Travis Snider",9.60637766177922,NA,NA,NA,NA,NA,2.63786720041213,2.78891003869656,2.80190744862417,0.643177311032964,1.96634046490771,0.734515663013395,NA,NA,NA,NA,NA,48.6666666666667,13,52,3,0.331,0.734515663013395
"43","Travis d'Arnaud",12.1442875838239,NA,NA,NA,NA,NA,3.28450620778342,3.81258690138886,3.56044816682513,0.353455448376492,1.87625328336672,1.13329085944998,NA,NA,NA,NA,NA,59.3333333333333,17.3333333333333,64.6666666666667,2,0.327,1.13329085944998
"44","Torii Hunter",12.5226568786096,NA,NA,NA,NA,NA,3.32492114574412,3.10388753490957,3.52052497113034,0.932899173689435,1.62100626900059,1.64042405313616,NA,NA,NA,NA,NA,60,14.3333333333333,64,4,0.315666666666667,1.64042405313616
"45","Tony Watson",4.39571608328778,1.44685862845406,0.0216356160919781,1.48303808948761,2.56615135084155,2.28877290673121,NA,NA,NA,NA,NA,NA,4.33333333333333,0.5,63.3333333333333,2.70333333333333,1.07666666666667,NA,NA,NA,NA,NA,NA
"46","Tony Sipp",3.106217052523,0.864247770315993,0.0216356160919781,1.38929681365363,1.45488608415208,1.56903709528465,NA,NA,NA,NA,NA,NA,3,0.5,60.3333333333333,3.61666666666667,1.21333333333333,NA,NA,NA,NA,NA,NA
"47","Tony Cingrani",8.64460208064299,2.90338577379923,-0.036909560283025,3.85781707728185,1.24804473889236,1.09506473164911,NA,NA,NA,NA,NA,NA,7.66666666666667,0,139.333333333333,3.78666666666667,1.30333333333333,NA,NA,NA,NA,NA,NA
"48","Tommy La Stella",4.42919015352394,NA,NA,NA,NA,NA,1.48604146853203,0.190345694939156,1.54432678423838,0.54660335681414,2.49935628902522,0.661872849000233,NA,NA,NA,NA,NA,29.6666666666667,2,31,2.66666666666667,0.354666666666667,0.661872849000233
"49","Tom Wilhelmsen",3.89952064142008,1.00990048485051,0.0216356160919781,1.57677936532159,1.71039598123761,1.23550098754113,NA,NA,NA,NA,NA,NA,3.33333333333333,0.5,66.3333333333333,3.40666666666667,1.27666666666667,NA,NA,NA,NA,NA,NA
"50","Todd Redmond",3.15976248272185,0.718595055781475,0.0216356160919781,1.28513984050476,1.12637335932781,1.14772832760862,NA,NA,NA,NA,NA,NA,2.66666666666667,0.5,57,3.88666666666667,1.29333333333333,NA,NA,NA,NA,NA,NA
